"Name","State","Notes","User","Tags","Created","Runtime","Sweep","input_chunk_length","layer_widths","output_chunk_length","Models","changepoint_range","n_changepoints","seasonality_mode","seasonality_prior_scale","epoch","loss_benchmark","loss_train","Model","loss_Model"
"charmed-sweep-72","finished","-","fibonacciash","","2022-03-28T08:33:31.000Z","14","km0pdg8u","","","","","0.8","30","additive","30","","33980.206896551725","35630.051382240556","",""
"fresh-sweep-33","finished","-","fibonacciash","","2022-03-28T08:20:04.000Z","13","km0pdg8u","","","","","0.5","30","additive","30","","33980.206896551725","35650.57470506731","",""
"ancient-sweep-82","finished","-","fibonacciash","","2022-03-28T08:36:58.000Z","19","km0pdg8u","","","","","0.8","10","additive","40","","33980.206896551725","35652.09929570842","",""
"cerulean-sweep-64","finished","-","fibonacciash","","2022-03-28T08:30:42.000Z","13","km0pdg8u","","","","","0.9","30","additive","30","","33980.206896551725","35653.96504409967","",""
"vague-sweep-76","finished","-","fibonacciash","","2022-03-28T08:34:47.000Z","15","km0pdg8u","","","","","0.6","5","multiplicative","10","","33980.206896551725","35654.773381237246","",""
"silver-sweep-81","finished","-","fibonacciash","","2022-03-28T08:36:37.000Z","14","km0pdg8u","","","","","0.8","40","additive","30","","33980.206896551725","35655.24699640287","",""
"denim-sweep-57","finished","-","fibonacciash","","2022-03-28T08:28:27.000Z","18","km0pdg8u","","","","","0.8","40","additive","50","","33980.206896551725","35655.398659026745","",""
"fearless-sweep-79","finished","-","fibonacciash","","2022-03-28T08:35:53.000Z","18","km0pdg8u","","","","","0.7","40","additive","10","","33980.206896551725","35657.89168610508","",""
"clean-sweep-56","finished","-","fibonacciash","","2022-03-28T08:27:58.000Z","21","km0pdg8u","","","","","0.9","80","multiplicative","50","","33980.206896551725","35658.91447881655","",""
"worthy-sweep-87","finished","-","fibonacciash","","2022-03-28T08:38:47.000Z","20","km0pdg8u","","","","","0.5","60","multiplicative","10","","33980.206896551725","35659.90245155691","",""
"devoted-sweep-78","finished","-","fibonacciash","","2022-03-28T08:35:31.000Z","15","km0pdg8u","","","","","0.6","5","multiplicative","20","","33980.206896551725","35662.44891908391","",""
"hearty-sweep-43","finished","-","fibonacciash","","2022-03-28T08:23:27.000Z","17","km0pdg8u","","","","","0.9","10","additive","40","","33980.206896551725","35662.99142099937","",""
"neat-sweep-50","finished","-","fibonacciash","","2022-03-28T08:25:50.000Z","15","km0pdg8u","","","","","0.9","10","additive","30","","33980.206896551725","35662.99493691464","",""
"daily-sweep-95","finished","-","fibonacciash","","2022-03-28T08:42:03.000Z","16","km0pdg8u","","","","","0.9","10","additive","10","","33980.206896551725","35663.167490809916","",""
"jolly-sweep-18","finished","-","fibonacciash","","2022-03-28T08:15:31.000Z","13","km0pdg8u","","","","","0.5","10","additive","20","","33980.206896551725","35665.18698390392","",""
"easy-sweep-44","finished","-","fibonacciash","","2022-03-28T08:23:48.000Z","12","km0pdg8u","","","","","0.6","30","additive","10","","33980.206896551725","35668.85820922497","",""
"glowing-sweep-62","finished","-","fibonacciash","","2022-03-28T08:29:59.000Z","22","km0pdg8u","","","","","0.6","30","additive","10","","33980.206896551725","35668.85820922497","",""
"dark-sweep-16","finished","-","fibonacciash","","2022-03-28T08:14:51.000Z","13","km0pdg8u","","","","","0.8","20","additive","5","","33980.206896551725","35672.06148009701","",""
"tough-sweep-54","finished","-","fibonacciash","","2022-03-28T08:27:20.000Z","13","km0pdg8u","","","","","0.8","20","additive","10","","33980.206896551725","35672.54341497649","",""
"wild-sweep-101","finished","-","fibonacciash","","2022-03-28T08:44:19.000Z","17","km0pdg8u","","","","","0.9","40","additive","30","","33980.206896551725","35679.779312822895","",""
"different-sweep-15","finished","-","fibonacciash","","2022-03-28T08:14:35.000Z","12","km0pdg8u","","","","","0.9","40","additive","40","","33980.206896551725","35680.057910826625","",""
"upbeat-sweep-22","finished","-","fibonacciash","","2022-03-28T08:16:45.000Z","13","km0pdg8u","","","","","0.7","30","additive","5","","33980.206896551725","35682.16595211789","",""
"northern-sweep-40","finished","-","fibonacciash","","2022-03-28T08:22:25.000Z","16","km0pdg8u","","","","","0.6","20","additive","50","","33980.206896551725","35684.83279746378","",""
"cosmic-sweep-109","finished","-","fibonacciash","","2022-03-28T08:47:19.000Z","19","km0pdg8u","","","","","0.6","20","additive","10","","33980.206896551725","35685.115970326704","",""
"sandy-sweep-106","finished","-","fibonacciash","","2022-03-28T08:46:13.000Z","15","km0pdg8u","","","","","0.6","20","additive","10","","33980.206896551725","35685.115970326704","",""
"pious-sweep-14","finished","-","fibonacciash","","2022-03-28T08:14:18.000Z","13","km0pdg8u","","","","","0.5","40","additive","20","","33980.206896551725","35688.977797548076","",""
"dulcet-sweep-11","finished","-","fibonacciash","","2022-03-28T08:13:29.000Z","13","km0pdg8u","","","","","0.6","80","additive","5","","33980.206896551725","35702.04549116089","",""
"winter-sweep-46","finished","-","fibonacciash","","2022-03-28T08:24:29.000Z","15","km0pdg8u","","","","","0.5","60","additive","10","","33980.206896551725","35712.819387184965","",""
"comic-sweep-84","finished","-","fibonacciash","","2022-03-28T08:37:42.000Z","19","km0pdg8u","","","","","0.6","50","additive","10","","33980.206896551725","35712.82176244204","",""
"fresh-sweep-25","finished","-","fibonacciash","","2022-03-28T08:17:35.000Z","12","km0pdg8u","","","","","0.5","60","additive","50","","33980.206896551725","35715.839883364824","",""
"dandy-sweep-39","finished","-","fibonacciash","","2022-03-28T08:22:03.000Z","14","km0pdg8u","","","","","0.8","80","additive","20","","33980.206896551725","35719.1646637311","",""
"neat-sweep-41","finished","-","fibonacciash","","2022-03-28T08:22:48.000Z","14","km0pdg8u","","","","","0.7","80","additive","5","","33980.206896551725","35719.39703974811","",""
"young-sweep-59","finished","-","fibonacciash","","2022-03-28T08:29:05.000Z","14","km0pdg8u","","","","","0.7","80","additive","30","","33980.206896551725","35719.4231282001","",""
"fragrant-sweep-88","finished","-","fibonacciash","","2022-03-28T08:39:14.000Z","20","km0pdg8u","","","","","0.5","5","additive","40","","33980.206896551725","35720.156305578","",""
"wobbly-sweep-10","finished","-","fibonacciash","","2022-03-28T08:13:13.000Z","12","km0pdg8u","","","","","0.5","5","additive","30","","33980.206896551725","35720.16671776961","",""
"young-sweep-30","finished","-","fibonacciash","","2022-03-28T08:19:08.000Z","11","km0pdg8u","","","","","0.5","5","additive","5","","33980.206896551725","35720.87812489982","",""
"revived-sweep-36","finished","-","fibonacciash","","2022-03-28T08:21:00.000Z","18","km0pdg8u","","","","","0.8","70","additive","10","","33980.206896551725","35723.491577673405","",""
"fast-sweep-23","finished","-","fibonacciash","","2022-03-28T08:17:02.000Z","12","km0pdg8u","","","","","0.8","70","additive","10","","33980.206896551725","35723.491577673405","",""
"light-sweep-99","finished","-","fibonacciash","","2022-03-28T08:43:30.000Z","21","km0pdg8u","","","","","0.8","80","additive","50","","33980.206896551725","35726.08021212496","",""
