,Model_Name,period,loss_without_covar,loss_benchmark,loss_with_future_covar,train_series,benchmark_series
0,<darts.models.forecasting.rnn_model.RNNModel object at 0x000001DC2CF06608>,SO_QTY_20210315,183695.56239657293,73494.5,183733.17472346197,Sum_All_Variables,Sum_All_Variables_Benchmark
1,<darts.models.forecasting.rnn_model.RNNModel object at 0x000001DC2CF06608>,SO_QTY_20210607,159992.90778727026,41794.666666666664,160040.50431986238,Sum_All_Variables,Sum_All_Variables_Benchmark
2,<darts.models.forecasting.rnn_model.RNNModel object at 0x000001DC2CF06608>,SO_QTY_20210830,249251.66476386855,58756.5,249313.56242974612,Sum_All_Variables,Sum_All_Variables_Benchmark
3,<darts.models.forecasting.rnn_model.RNNModel object at 0x000001DC2CF06608>,SO_QTY_20211122,218554.09359216085,48203.2,218621.33394205282,Sum_All_Variables,Sum_All_Variables_Benchmark
4,LinearRegression(n_jobs=-1),SO_QTY_20210315,23459.297053668208,73494.5,23445.85100111694,Sum_All_Variables,Sum_All_Variables_Benchmark
5,LinearRegression(n_jobs=-1),SO_QTY_20210607,26743.768062682666,41794.666666666664,26737.57132602902,Sum_All_Variables,Sum_All_Variables_Benchmark
6,LinearRegression(n_jobs=-1),SO_QTY_20210830,47783.150074698635,58756.5,47760.89790922215,Sum_All_Variables,Sum_All_Variables_Benchmark
7,LinearRegression(n_jobs=-1),SO_QTY_20211122,30777.039000415745,48203.2,30787.307133960665,Sum_All_Variables,Sum_All_Variables_Benchmark
8,"RandomForest(lags={'target': [-24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1], 'past': [-6, -5, -4, -3, -2, -1], 'future': [-6, -5, -4, -3, -2, -1]}, n_estimators=100, max_depth=None)",SO_QTY_20210315,31751.754654184606,73494.5,32917.07640844962,Sum_All_Variables,Sum_All_Variables_Benchmark
9,"RandomForest(lags={'target': [-24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1], 'past': [-6, -5, -4, -3, -2, -1], 'future': [-6, -5, -4, -3, -2, -1]}, n_estimators=100, max_depth=None)",SO_QTY_20210607,53241.197998456446,41794.666666666664,54264.78971529817,Sum_All_Variables,Sum_All_Variables_Benchmark
10,"RandomForest(lags={'target': [-24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1], 'past': [-6, -5, -4, -3, -2, -1], 'future': [-6, -5, -4, -3, -2, -1]}, n_estimators=100, max_depth=None)",SO_QTY_20210830,89937.73852787515,58756.5,99691.63519522222,Sum_All_Variables,Sum_All_Variables_Benchmark
11,"RandomForest(lags={'target': [-24, -23, -22, -21, -20, -19, -18, -17, -16, -15, -14, -13, -12, -11, -10, -9, -8, -7, -6, -5, -4, -3, -2, -1], 'past': [-6, -5, -4, -3, -2, -1], 'future': [-6, -5, -4, -3, -2, -1]}, n_estimators=100, max_depth=None)",SO_QTY_20211122,124473.51306165433,48203.2,128174.38228462408,Sum_All_Variables,Sum_All_Variables_Benchmark
